region_name,feature_subset,feature_dim,model_name,config_name,horizon_month,objective,comparison_design,sample_weight_mode,model_seed,source_dataset,selected_config_json,threshold_csv,n_train,train_negative,train_positive,n_test,test_negative,test_positive,param_iterations,param_depth,param_learning_rate,param_l2_leaf_reg,param_random_strength,param_bootstrap_type,param_subsample,positive_rate,threshold,pred_positive_rate,acc,precision,recall,f1,auc,pr_auc,brier,tn,fp,fn,tp,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_min_child_weight,param_gamma,full_config_name,full_acc,full_precision,full_recall,full_f1,full_auc,full_pr_auc,full_brier,full_pred_positive_rate,delta_acc_only_minus_full,retained_fraction_acc,delta_precision_only_minus_full,retained_fraction_precision,delta_recall_only_minus_full,retained_fraction_recall,delta_f1_only_minus_full,retained_fraction_f1,delta_auc_only_minus_full,retained_fraction_auc,delta_pr_auc_only_minus_full,retained_fraction_pr_auc,delta_brier_only_minus_full,delta_pred_positive_rate_only_minus_full
all,annual_only,15,ExtraTrees,et_cfg0_depth12_leaf5,12,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,921242,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_12m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1209975,902429,307546,9095,6846,2249,,,,,,,,0.24727872457394173,0.3,0.3041231445849368,0.7744914788345245,0.5357917570498916,0.6589595375722543,0.5910269192422731,0.8138315311885297,0.5757518526799926,0.1409281195055105,5562,1284,767,1482,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.7938427707531611,0.5803955288048152,0.6002667852378835,0.5901639344262295,0.8292021760052541,0.6021551087854431,0.1393651474517338,0.2557449147883452,-0.019351291918636604,0.9756232686980609,-0.04460377175492358,0.9231493532578131,0.05869275233437088,1.097777777777778,0.0008629848160436326,1.001462279827185,-0.015370644816724455,0.9814633327534501,-0.026403256105450468,0.9561520682624345,0.0015629720537767011,0.048378229796591565
all,annual_only,15,XGBoost,xgb_cfg4_strong_reg,12,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,931242,PROJECT_ROOT/data_timescale_only/annual_only/china_annual_only_dataset_horizon_12m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1209975,902429,307546,9095,6846,2249,,,0.03,,,,0.9,0.24727872457394173,0.27,0.23067619571192963,0.7696536558548653,0.5367016205910391,0.5006669630947087,0.5180584311019093,0.7782551975253844,0.5137104096749743,0.15671485362922952,5874,972,1123,1126,500.0,3.0,,,,,0.9,8.0,0.8,5.0,0.2,xgb_cfg4_strong_reg,0.7937328202308961,0.5793279455550829,0.6056024899955536,0.5921739130434782,0.8232820910309474,0.5851272797928737,0.1405556509000455,0.2584936778449697,-0.02407916437603075,0.9696633882809254,-0.04262632496404384,0.9264210793021534,-0.10493552690084484,0.8267254038179148,-0.07411548194156892,0.8748416971618146,-0.04502689350556299,0.9453080614820876,-0.07141687011789943,0.8779464356145215,0.01615920272918403,-0.027817482133040056
all,last100_only,15,CatBoost,cat_cfg1_depth5_lr002,1,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,910142,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_1m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1238365,1196758,41607,9095,8777,318,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.03496426608026388,0.13,0.04409015942825729,0.9326003298515668,0.13216957605985039,0.16666666666666666,0.1474269819193324,0.7811199654901353,0.10291873407126999,0.03356336002326473,8429,348,265,53,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.9454645409565696,0.1821428571428571,0.160377358490566,0.1705685618729097,0.8135890474173854,0.1285018101002047,0.032324006530708,0.0307861462341946,-0.012864211105002799,0.98639376671706,-0.04997328108300672,0.7256368881717278,0.006289308176100655,1.0392156862745099,-0.023141579953577296,0.8643268155662821,-0.032469081927250065,0.9600915449509575,-0.025583076028934712,0.8009127185913939,0.00123935349255673,0.013304013194062686
all,last100_only,15,ExtraTrees,et_cfg0_depth12_leaf5,1,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,920142,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_1m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1238365,1196758,41607,9095,8777,318,,,,,,,,0.03496426608026388,0.12,0.01594282572842221,0.954150632215503,0.15862068965517243,0.07232704402515723,0.09935205183585313,0.7301840573884144,0.08855792266980433,0.033122324084003445,8655,122,295,23,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.9218251786695988,0.1617900172117039,0.2955974842767295,0.2091212458286985,0.8161737044290287,0.1331358213116875,0.0319265870026155,0.0638812534359538,0.032325453545904215,1.0350667938931297,-0.003169327556531487,0.9804108584005873,-0.22327044025157228,0.24468085106382984,-0.10976919399284538,0.47509305638527655,-0.08598964704061429,0.8946429582649075,-0.04457789864188316,0.6651697627078083,0.0011957370813879473,-0.047938427707531595
all,last100_only,15,XGBoost,xgb_cfg4_strong_reg,1,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,930142,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_1m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1238365,1196758,41607,9095,8777,318,,,0.03,,,,0.9,0.03496426608026388,0.13,0.028367234744365036,0.9443650357339197,0.13565891472868216,0.11006289308176101,0.12152777777777778,0.7463695135155276,0.10313193582028445,0.033011947697163625,8554,223,283,35,500.0,3.0,,,,,0.9,8.0,0.8,5.0,0.2,xgb_cfg4_strong_reg,0.9461242440901594,0.1692307692307692,0.1383647798742138,0.1522491349480968,0.8006886925017717,0.1248547692284669,0.0323288757694658,0.0285871357888949,-0.001759208356239661,0.9981406159209762,-0.03357185450208705,0.8016208597603947,-0.028301886792452796,0.7954545454545456,-0.030721357170319027,0.7982165404040408,-0.054319178986244054,0.9321594278838603,-0.021722833408182457,0.8260151891480197,0.0006830719276978287,-0.00021990104452986395
all,last100_only,15,CatBoost,cat_cfg1_depth5_lr002,3,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,910342,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_3m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1233180,1124601,108579,9095,8272,823,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.09048927982407916,0.18,0.10269378779549203,0.8701484332050577,0.3083511777301927,0.34993924665856624,0.32783153101878204,0.7787310718675601,0.25348036471319524,0.07554999087654515,7626,646,535,288,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.8575041231445849,0.290893015030946,0.3997569866342649,0.3367451381780962,0.811683296473956,0.2700716611638938,0.0739462272856931,0.1243540406816932,0.012644310060472841,1.014745480189768,0.017458162699246715,1.0600157507989303,-0.04981773997569866,0.8753799392097265,-0.008913607159314163,0.9735301088308512,-0.03295222460639591,0.9594026084440272,-0.016591296450698567,0.9385670589087461,0.0016037635908520559,-0.021660252886201173
all,last100_only,15,ExtraTrees,et_cfg0_depth12_leaf5,3,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,920342,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_3m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1233180,1124601,108579,9095,8272,823,,,,,,,,0.09048927982407916,0.18,0.03936228697086311,0.8903793293018142,0.2569832402234637,0.1117861482381531,0.15580016934801016,0.7220908462223643,0.21156056221238972,0.07897371212292932,8006,266,731,92,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.8558548653106103,0.3137404580152672,0.4993924665856622,0.3853727144866385,0.8194325790674775,0.2977947868271378,0.0718404090083363,0.1440351841671248,0.0345244639912039,1.040339157245632,-0.05675721779180348,0.8190949992524025,-0.38760631834750914,0.22384428223844283,-0.22957254513862835,0.40428438104538406,-0.09734173284511316,0.8812083686544547,-0.08623422461474806,0.7104239952165288,0.007133303114593023,-0.10467289719626169
all,last100_only,15,XGBoost,xgb_cfg4_strong_reg,3,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,930342,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_3m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1233180,1124601,108579,9095,8272,823,,,0.03,,,,0.9,0.09048927982407916,0.14,0.12941176470588237,0.8434304562946674,0.24468988954970264,0.34993924665856624,0.28800000000000003,0.7373507165838995,0.23401548709510694,0.0772552532496341,7383,889,535,288,500.0,3.0,,,,,0.9,8.0,0.8,5.0,0.2,xgb_cfg4_strong_reg,0.8489279824079164,0.2875867386276021,0.4532199270959903,0.3518867924528302,0.8041472968875958,0.2637830650723957,0.0746640726102495,0.14260582737768,-0.005497526113249052,0.9935241549022147,-0.04289684907789945,0.8508385703645158,-0.10328068043742406,0.7721179624664879,-0.06388679245283019,0.8184450402144773,-0.06679658030369628,0.9169348941888775,-0.02976757797728874,0.8871512924109856,0.0025911806393845993,-0.013194062671797624
all,last100_only,15,CatBoost,cat_cfg1_depth5_lr002,6,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,910642,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_6m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1225360,1035867,189493,9095,7697,1398,800.0,5.0,0.02,10.0,1.0,Bernoulli,0.85,0.1537108301264431,0.27,0.14139637163276525,0.8212204507971412,0.41135303265940903,0.37839771101573677,0.39418777943368105,0.7856642212199056,0.3891740339979729,0.1128873636074229,6940,757,869,529,,,,,,,,,,,,cat_cfg1_depth5_lr002,0.8288070368334249,0.4499685336689742,0.5114449213161659,0.4787412119183127,0.82208747513802,0.4186056238228322,0.1075128041263294,0.1747113798790544,-0.0075865860362837045,0.9908463783496948,-0.03861550100956518,0.9141817746794418,-0.13304721030042915,0.7398601398601399,-0.08455343248463165,0.82338384417371,-0.03642325391811441,0.9556941870304017,-0.029431589824859272,0.929691365452568,0.005374559481093499,-0.03331500824628916
all,last100_only,15,ExtraTrees,et_cfg0_depth12_leaf5,6,binary_Mge5,fixed_full_hyperparameters_and_threshold,none,920642,PROJECT_ROOT/data_timescale_only/last100_only/china_last100_only_dataset_horizon_6m.pkl,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/selected_config_by_model.json,PROJECT_ROOT/outputs/catboost_extratrees_xgb_binary_m5_comparison/pooled_threshold_by_model_horizon.csv,1225360,1035867,189493,9095,7697,1398,,,,,,,,0.1537108301264431,0.23,0.045409565695437054,0.8362836723474436,0.3898305084745763,0.11516452074391989,0.17780231916068473,0.7347318493372834,0.30567623595459675,0.1227130712625107,7445,252,1237,161,500.0,12.0,10.0,5.0,sqrt,False,,,,,,et_cfg0_depth12_leaf5,0.8251786695986806,0.4461883408071749,0.5693848354792561,0.5003142677561282,0.8222022477590529,0.4348267130364049,0.1059076416347786,0.1961517317207256,0.011105002748763027,1.0134576948700866,-0.05635783233259861,0.8736904863299548,-0.4542203147353362,0.2022613065326633,-0.32251194859544347,0.3553812685736802,-0.08747039842176951,0.8936144985492636,-0.12915047708180816,0.7029840320068024,0.0168054296277321,-0.15074216602528853
